Weekday,Time,Channel,ProgramName,Image,Link,IG,Desc
day1,8:00,NHK G,晨間劇 飯團,1,https://drive.google.com/drive/folders/1Ywzshe53_I09EtrSIe0GWpgNzE1sBAgb?usp=drive_link,,
day1,21:00,CX,解謊偵探少女,2,https://drive.google.com/drive/folders/1pNWs7bF60DUJCiE0SaTJrSTlBHSsk-CH?usp=drive_link,,
day1,22:00,CX,MONSTER,3,https://drive.google.com/drive/folders/1lc3_z1kvVrDlQJNgZs6t3-VAdZ5omjNC?usp=drive_link,https://www.instagram.com/p/C-3aoPSBhu4/?utm_source=ig_web_copy_link,故事描述亮子(趣里飾)在幼年喪母後，與父親相依為命，憑藉著過人的才華和通過旁聽積累的豐富知識，在高中三年級時一舉通過了司法考試。然而，其後她的父親卻突然失蹤了。亮子對此沒有追究原因，也沒有進入法律界，而是獨自生活。2024年亮子因偶然的機會決定以律師身份工作，並進入了一家律師事務所。喜愛遊戲的亮子對待法庭案件也像對待遊戲一樣，認為贏是理所當然的。為了勝利她不擇手段，甚至會採取表面上難以理解的行動，毫不猶豫地揭開對方不願面對的真相。她無所畏懼地挑戰騷擾、外貌歧視、生殖醫療等現代社會所面臨的各種問題，並得出自己獨特的結論。
day1,23:00,NHK G,被未來的我突襲了!?,4,https://www.viu.com/ott/hk/zh/vod/2439380/%E8%A2%AB%E6%9C%AA%E4%BE%86%E7%9A%84%E6%88%91%E7%AA%81%E8%A5%B2%E4%BA%86,,
day1,23:00,TX,Qros之女,5,,https://www.instagram.com/p/C-6F-iPTw_u/?utm_source=ig_web_copy_link,由桐谷健太飾演的《週刊近代》精英記者栗山孝治背負著某個創傷，一邊說著「我只是在提供社會所需要的素材」，一邊揭露各種藝人的真實以提高雜誌銷量。因八卦報導而失勢的藝人，以及嘲笑他們的大眾，這一切栗山都冷眼旁觀。然而，與神秘女性“Qros的女人”相遇後，栗山被捲入了意想不到的事件。
day2,21:00,EX,民王R,6,,,
day2,21:00,CX,Okura〜難解事件搜查〜,7,https://drive.google.com/drive/folders/1IfizS1NlPpDNaDFlgv6fTNjNeZQRkb7r?usp=drive_link,https://www.instagram.com/p/C-8bagmTF5X/?utm_source=ig_web_copy_link,本作為完全原創故事，反町隆史飾演昭和刑警飛鷹千壽，杉野遙亮飾演令和刑警不破利己。這對跨時代的搭檔將憑藉微小的線索，挑戰被擱置的未解決案件，揭開即將被遺忘的案件的真相。
day2,21:00,TBS,天狗的廚房 Season2,8,,,
day2,22:00,NHK G,漂浮於太空的教室,9,https://drive.google.com/drive/folders/1SxGddNkZYhsBevKf9u4Du40XI1oCj8Qz?usp=drive_link,,
day2,22:00,TBS,好想把那個渣男狠揍一頓,10,https://drive.google.com/drive/folders/1agtZrlEovd1h51IkUWF57KSY91QyVtgY?usp=drive_link,,
