Weekday,Time,Channel,ProgramName,Image,TV,Link,IG,Desc
day1,8:00,NHK G,晨間劇 飯團,1,https://www.nhk.jp/p/omusubi/ts/NJ1W7VQ6W9/?fbclid=PAZXh0bgNhZW0CMTEAAabdXdjWnG7SlPN6_bkzaI8VhDotDBTNODtCN4gA873SToTxOpbjQG7M67M_aem_SAJeiwT75IumzsunXrN0SA,https://drive.google.com/drive/folders/1Ywzshe53_I09EtrSIe0GWpgNzE1sBAgb?usp=drive_link,https://www.instagram.com/p/DAAJyJ7sO6v/?utm_source=ig_web_copy_link,故事是從主角米田結上高中開始說起，利用高中時期常見的家庭、同儕關係作為主要情節，描述其成為營養師的成長歷程。 比較特別的是「辣妹」元素的加入，把主角的家庭、校園、愛情、生涯選擇用「辣妹」串聯起來，不僅在情節元素上製造趣味，也是藉這個次文化單元與其他角色的衝突或矛盾來深入探討相關主題。
day1,21:00,CX,解謊偵探少女,2,https://www.fujitv.co.jp/usotoki/,https://drive.google.com/drive/folders/1pNWs7bF60DUJCiE0SaTJrSTlBHSsk-CH?usp=drive_link,https://www.instagram.com/usotoki_fujitv/,浦部鹿乃子（松本穂香飾）是一位擁有能聽出謊言的超能力少女，但這個特殊能力卻讓她受到大家的排擠，為了不讓母親擔心，鹿乃子決定離家出走！當在她來到九十九夜町，因為飢餓快昏倒時，遇到了觀察力敏銳卻欠一屁股債的貧窮偵探祝左右馬（鈴鹿央士飾）出手相助，左右馬在聽聞鹿乃子的神奇能力之後，認為她能挽救自己的偵探事業，因此說服鹿乃子成為自己的助手，兩人將一起破解真假交織的困難案件…
day1,22:00,CX,MONSTER,3,https://www.ktv.jp/monster/,https://drive.google.com/drive/folders/1lc3_z1kvVrDlQJNgZs6t3-VAdZ5omjNC?usp=drive_link,https://www.instagram.com/p/C-3aoPSBhu4/?utm_source=ig_web_copy_link,故事描述亮子(趣里飾)在幼年喪母後，與父親相依為命，憑藉著過人的才華和通過旁聽積累的豐富知識，在高中三年級時一舉通過了司法考試。然而，其後她的父親卻突然失蹤了。亮子對此沒有追究原因，也沒有進入法律界，而是獨自生活。2024年亮子因偶然的機會決定以律師身份工作，並進入了一家律師事務所。喜愛遊戲的亮子對待法庭案件也像對待遊戲一樣，認為贏是理所當然的。為了勝利她不擇手段，甚至會採取表面上難以理解的行動，毫不猶豫地揭開對方不願面對的真相。她無所畏懼地挑戰騷擾、外貌歧視、生殖醫療等現代社會所面臨的各種問題，並得出自己獨特的結論。
day1,23:00,NHK G,被未來的我突襲了!?,4,https://www.nhk.jp/g/blog/loxf753uzo3/,https://www.viu.com/ott/hk/zh/vod/2439380/%E8%A2%AB%E6%9C%AA%E4%BE%86%E7%9A%84%E6%88%91%E7%AA%81%E8%A5%B2%E4%BA%86,,主角是即將進入職場第十個年頭的市政府職員五十嵐頼人，一生都在盡可能避免失敗，但就在他在一家餐廳向女友筒井凜求婚之際，被神秘的大叔潑葡萄酒。「如果你不取消求婚，你的人生將是迎來巨大失敗，」大叔介紹自己為「三十年後的五十嵐賴人」。講述生活在2054年的賴人原本安穩、規避風險的生活，因價值觀和大膽行動而發生徹底改變的故事。
day1,23:00,TX,Qros之女,5,https://www.tv-tokyo.co.jp/qros/,,https://www.instagram.com/p/C-6F-iPTw_u/?utm_source=ig_web_copy_link,由桐谷健太飾演的《週刊近代》精英記者栗山孝治背負著某個創傷，一邊說著「我只是在提供社會所需要的素材」，一邊揭露各種藝人的真實以提高雜誌銷量。因八卦報導而失勢的藝人，以及嘲笑他們的大眾，這一切栗山都冷眼旁觀。然而，與神秘女性“Qros的女人”相遇後，栗山被捲入了意想不到的事件。
day2,21:00,EX,民王R,6,https://www.tv-asahi.co.jp/tamiou/,,https://www.instagram.com/tamioudrama?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,續集《民王R》是從原作中獲得靈感的原創故事。遠藤憲一飾演的主角武藤泰山在前作中經歷了與兒子心靈與身體互換的未曾有之事態後，仍成功履行了首相的職責，並開始考慮是否即將從政界引退。然而泰山再次接到擔任首相的邀請。但就在這個時候，又一次的“互換”事件發生了，而這次的互換對象竟然是全國民。
day2,21:00,CX,Okura〜難解事件搜查〜,7,https://www.fujitv.co.jp/okura/,https://drive.google.com/drive/folders/1IfizS1NlPpDNaDFlgv6fTNjNeZQRkb7r?usp=drive_link,https://www.instagram.com/p/C-8bagmTF5X/?utm_source=ig_web_copy_link,本作為完全原創故事，反町隆史飾演昭和刑警飛鷹千壽，杉野遙亮飾演令和刑警不破利己。這對跨時代的搭檔將憑藉微小的線索，挑戰被擱置的未解決案件，揭開即將被遺忘的案件的真相。
day2,21:00,TBS,天狗的廚房 Season2,8,https://bs.tbs.co.jp/tenguskitchen/,,https://www.instagram.com/bstbs_drama23/,就在他 14 歲生日之前，居住在紐約的男孩 Ong 從父母那裡得知自己是天狗的後裔，並且有一個傳統：“14 歲必須秘密生活。” '獨自來到日本的安拜訪了素未謀面的哥哥飯綱元樹。本井從14歲起就在東京的一個鄉村農舍過著隱居的生活。遠離文明社會，安被迫每天接受農耕和家常飯菜的教育。
day2,22:00,NHK G,漂浮於太空的教室,9,https://www.nhk.jp/p/ts/11GMGMRG5V/,https://drive.google.com/drive/folders/1SxGddNkZYhsBevKf9u4Du40XI1oCj8Qz?usp=drive_link,,"原作以2017年大阪府的某定時制高中科學部的學生們，在科研的發表會「日本地球行星科學聯合大會」獲得高中生部優秀獎，那個獨創性的研究發表意外的受人注目，並發展到預想外的參加隼鳥2號的基礎實驗的真實故事為小說靈感來源。
　以東京新宿區的一所半日制高中東新宿高中為背景，講述無法擺脫負面螺旋的不良少年柳田岳人（21歲），放棄跟上課程的菲日混血越川安吉拉（43歲）、患有起立性調節障礙並繼續去保健室上學的名取佳純（16歲）和青年時代無法上高中只能工作的長嶺省造（76歲）。在新任命的神秘科學老師藤竹（窪田正孝）的指導下，不同年齡和背景的學生以在教室再現“火星隕石坑”的實驗登上學術發表會為目標。"
day2,22:00,TBS,好想把那個渣男狠揍一頓,10,https://www.tbs.co.jp/anokuzu_tbs/,https://drive.google.com/drive/folders/1agtZrlEovd1h51IkUWF57KSY91QyVtgY?usp=drive_link,https://www.instagram.com/anokuzu_tbs/,個性認真的穗美在婚禮上，被未婚夫毀婚，一氣之下出拳揍人卻落空。這個畫面都被叫做海里的攝影師所目擊…而揍人落空的穗美，經過了一間拳館…
